date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:26	310217/310217	---M--	200	added ('OK')	image/jpeg	etag:%224bbc9-57b6b9ee27ace%22	http://mcbeki.com/upload/banners/1543077040.jpg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/banners/1543077040.jpg	(from http://mcbeki.com/)
20:16:27	9602/9602	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Feb%202019%2019:16:29%20GMT	http://mcbeki.com/single/22	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/single/22.html	(from http://mcbeki.com/)
20:17:09	527369/527369	---M--	200	added ('OK')	image/jpeg	etag:%2280c09-57b6b1a539d9e%22	http://mcbeki.com/upload/portfolio/Strongboe%20Apple%20cider%20(Nigerian%20Breweries)/cover/1543074816.jpg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/portfolio/Strongboe%20Apple%20cider%20(Nigerian%20Breweries)/cover/1543074816.jpg	(from http://mcbeki.com/)
20:17:10	11435/11435	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Feb%202019%2019:17:11%20GMT	http://mcbeki.com/single/24	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/single/24.html	(from http://mcbeki.com/)
20:17:23	633951/633951	---M--	200	added ('OK')	image/jpeg	etag:%229ac5f-57b6bafc76b75%22	http://mcbeki.com/upload/banners/1543077324.jpg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/banners/1543077324.jpg	(from http://mcbeki.com/)
20:17:24	9385/9385	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Feb%202019%2019:17:25%20GMT	http://mcbeki.com/single/26	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/single/26.html	(from http://mcbeki.com/)
20:17:25	355643/355643	---M--	200	added ('OK')	image/jpeg	etag:%2256d3b-58077e86b65df%22	http://mcbeki.com/upload/portfolio/The%20Audition%20Africa/cover/1548627372.jpg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/portfolio/The%20Audition%20Africa/cover/1548627372.jpg	(from http://mcbeki.com/)
20:17:25	14045/14045	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Feb%202019%2019:17:27%20GMT	http://mcbeki.com/single/29	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/single/29.html	(from http://mcbeki.com/)
20:17:26	645465/645465	---M--	200	added ('OK')	image/jpeg	etag:%229d959-57b6b994eafea%22	http://mcbeki.com/upload/banners/1543076947.jpg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/banners/1543076947.jpg	(from http://mcbeki.com/)
20:17:27	12394/12394	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Feb%202019%2019:17:28%20GMT	http://mcbeki.com/single/30	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/single/30.html	(from http://mcbeki.com/)
20:18:16	409955/409955	---M--	200	added ('OK')	image/jpeg	etag:%2264163-57b83299249b4%22	http://mcbeki.com/upload/portfolio/Grand%20Cornflakes/cover/1543178151.jpg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/portfolio/Grand%20Cornflakes/cover/1543178151.jpg	(from http://mcbeki.com/)
20:18:16	14049/14049	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Feb%202019%2019:18:18%20GMT	http://mcbeki.com/single/31	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/single/31.html	(from http://mcbeki.com/)
20:18:20	16440/16440	---M--	200	added ('OK')	image/png	etag:%224038-57bb8622821f1%22	http://mcbeki.com/upload/portfolio/Robinson%20Souttar/cover/1543406734.png	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/portfolio/Robinson%20Souttar/cover/1543406734.png	(from http://mcbeki.com/)
20:18:20	11862/11862	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Feb%202019%2019:18:22%20GMT	http://mcbeki.com/single/33	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/single/33.html	(from http://mcbeki.com/)
